变量名,中文解释,单位/范围,备注
lowlevel.spectral_energy.dmean,"谱能量（Spectral Energy）一阶差分均值",无量纲/统计量,"频谱能量总量（通常与幅度平方相关）；差分表示能量变化速度"
lowlevel.spectral_energy.dmean2,"谱能量二阶差分均值",无量纲/统计量,"变化加速度"
lowlevel.spectral_energy.dvar,"谱能量一阶差分方差",无量纲/统计量,"变化不稳定"
lowlevel.spectral_energy.dvar2,"谱能量二阶差分方差",无量纲/统计量,"加速度不稳定"
lowlevel.spectral_energy.max,"谱能量最大值",无量纲/统计量,"能量峰值时刻"
lowlevel.spectral_energy.mean,"谱能量均值",无量纲/统计量,"整体能量水平"
lowlevel.spectral_energy.median,"谱能量中位数",无量纲/统计量,"鲁棒中心趋势"
lowlevel.spectral_energy.min,"谱能量最小值",无量纲/统计量,"能量最弱时刻"
lowlevel.spectral_energy.stdev,"谱能量标准差",无量纲/统计量,"随时间波动"
lowlevel.spectral_energy.var,"谱能量方差",无量纲/统计量,"=stdev^2"
lowlevel.spectral_energyband_high.dmean,"高频能量带（high band）一阶差分均值",无量纲/统计量,"只统计高频段能量（具体分频点由实现/配置决定）"
lowlevel.spectral_energyband_high.dmean2,"高频能量带二阶差分均值",无量纲/统计量,"变化加速度"
lowlevel.spectral_energyband_high.dvar,"高频能量带一阶差分方差",无量纲/统计量,"变化不稳定"
lowlevel.spectral_energyband_high.dvar2,"高频能量带二阶差分方差",无量纲/统计量,"加速度不稳定"
lowlevel.spectral_energyband_high.max,"高频能量带最大值",无量纲/统计量,"高频最强时刻"
lowlevel.spectral_energyband_high.mean,"高频能量带均值",无量纲/统计量,"整体高频含量"
lowlevel.spectral_energyband_high.median,"高频能量带中位数",无量纲/统计量,"鲁棒中心趋势"
lowlevel.spectral_energyband_high.min,"高频能量带最小值",无量纲/统计量,"高频最弱时刻"
lowlevel.spectral_energyband_high.stdev,"高频能量带标准差",无量纲/统计量,"随时间波动"
lowlevel.spectral_energyband_high.var,"高频能量带方差",无量纲/统计量,"=stdev^2"
lowlevel.spectral_energyband_low.dmean,"低频能量带（low band）一阶差分均值",无量纲/统计量,"只统计低频段能量"
lowlevel.spectral_energyband_low.dmean2,"低频能量带二阶差分均值",无量纲/统计量,"变化加速度"
lowlevel.spectral_energyband_low.dvar,"低频能量带一阶差分方差",无量纲/统计量,"变化不稳定"
lowlevel.spectral_energyband_low.dvar2,"低频能量带二阶差分方差",无量纲/统计量,"加速度不稳定"
lowlevel.spectral_energyband_low.max,"低频能量带最大值",无量纲/统计量,"低频最强时刻"
lowlevel.spectral_energyband_low.mean,"低频能量带均值",无量纲/统计量,"整体低频含量"
lowlevel.spectral_energyband_low.median,"低频能量带中位数",无量纲/统计量,"鲁棒中心趋势"
lowlevel.spectral_energyband_low.min,"低频能量带最小值",无量纲/统计量,"低频最弱时刻"
lowlevel.spectral_energyband_low.stdev,"低频能量带标准差",无量纲/统计量,"随时间波动"
lowlevel.spectral_energyband_low.var,"低频能量带方差",无量纲/统计量,"=stdev^2"
lowlevel.spectral_energyband_middle_high.dmean,"中高频能量带一阶差分均值",无量纲/统计量,"统计中高频段能量"
lowlevel.spectral_energyband_middle_high.dmean2,"中高频能量带二阶差分均值",无量纲/统计量,"变化加速度"
lowlevel.spectral_energyband_middle_high.dvar,"中高频能量带一阶差分方差",无量纲/统计量,"变化不稳定"
lowlevel.spectral_energyband_middle_high.dvar2,"中高频能量带二阶差分方差",无量纲/统计量,"加速度不稳定"
lowlevel.spectral_energyband_middle_high.max,"中高频能量带最大值",无量纲/统计量,"中高频最强时刻"
lowlevel.spectral_energyband_middle_high.mean,"中高频能量带均值",无量纲/统计量,"整体中高频含量"
lowlevel.spectral_energyband_middle_high.median,"中高频能量带中位数",无量纲/统计量,"鲁棒中心趋势"
lowlevel.spectral_energyband_middle_high.min,"中高频能量带最小值",无量纲/统计量,"中高频最弱时刻"
lowlevel.spectral_energyband_middle_high.stdev,"中高频能量带标准差",无量纲/统计量,"随时间波动"
lowlevel.spectral_energyband_middle_high.var,"中高频能量带方差",无量纲/统计量,"=stdev^2"
lowlevel.spectral_energyband_middle_low.dmean,"中低频能量带一阶差分均值",无量纲/统计量,"统计中低频段能量"
lowlevel.spectral_energyband_middle_low.dmean2,"中低频能量带二阶差分均值",无量纲/统计量,"变化加速度"
lowlevel.spectral_energyband_middle_low.dvar,"中低频能量带一阶差分方差",无量纲/统计量,"变化不稳定"
lowlevel.spectral_energyband_middle_low.dvar2,"中低频能量带二阶差分方差",无量纲/统计量,"加速度不稳定"
lowlevel.spectral_energyband_middle_low.max,"中低频能量带最大值",无量纲/统计量,"中低频最强时刻"
lowlevel.spectral_energyband_middle_low.mean,"中低频能量带均值",无量纲/统计量,"整体中低频含量"
lowlevel.spectral_energyband_middle_low.median,"中低频能量带中位数",无量纲/统计量,"鲁棒中心趋势"
lowlevel.spectral_energyband_middle_low.min,"中低频能量带最小值",无量纲/统计量,"中低频最弱时刻"
lowlevel.spectral_energyband_middle_low.stdev,"中低频能量带标准差",无量纲/统计量,"随时间波动"
lowlevel.spectral_energyband_middle_low.var,"中低频能量带方差",无量纲/统计量,"=stdev^2"
lowlevel.spectral_entropy.dmean,"谱熵（Spectral Entropy）一阶差分均值",无量纲/统计量,"谱熵越高表示能量分布越均匀/更像噪声；越低表示更集中/更有结构"
lowlevel.spectral_entropy.dmean2,"谱熵二阶差分均值",无量纲/统计量,"变化加速度"
lowlevel.spectral_entropy.dvar,"谱熵一阶差分方差",无量纲/统计量,"变化不稳定"
lowlevel.spectral_entropy.dvar2,"谱熵二阶差分方差",无量纲/统计量,"加速度不稳定"
lowlevel.spectral_entropy.max,"谱熵最大值",无量纲,"最均匀/最噪声化时刻"
lowlevel.spectral_entropy.mean,"谱熵均值",无量纲,"整体噪声化/均匀程度"
lowlevel.spectral_entropy.median,"谱熵中位数",无量纲,"鲁棒中心趋势"
lowlevel.spectral_entropy.min,"谱熵最小值",无量纲,"最集中/最有结构时刻"
lowlevel.spectral_entropy.stdev,"谱熵标准差",无量纲,"随时间波动"
lowlevel.spectral_entropy.var,"谱熵方差",无量纲,"=stdev^2"
lowlevel.spectral_flux.dmean,"谱通量（Spectral Flux）一阶差分均值",无量纲/统计量,"衡量相邻帧频谱变化幅度；越大表示音色/音符变化更剧烈"
lowlevel.spectral_flux.dmean2,"谱通量二阶差分均值",无量纲/统计量,"变化加速度"
lowlevel.spectral_flux.dvar,"谱通量一阶差分方差",无量纲/统计量,"变化不稳定"
lowlevel.spectral_flux.dvar2,"谱通量二阶差分方差",无量纲/统计量,"加速度不稳定"
lowlevel.spectral_flux.max,"谱通量最大值",无量纲,"变化最剧烈的时刻（常对应击打/换和弦/强起音）"
lowlevel.spectral_flux.mean,"谱通量均值",无量纲,"整体变化程度"
lowlevel.spectral_flux.median,"谱通量中位数",无量纲,"鲁棒中心趋势"
lowlevel.spectral_flux.min,"谱通量最小值",无量纲,"最平稳时刻"
lowlevel.spectral_flux.stdev,"谱通量标准差",无量纲,"随时间波动"
lowlevel.spectral_flux.var,"谱通量方差",无量纲,"=stdev^2"
lowlevel.spectral_kurtosis.dmean,"谱峰度（Spectral Kurtosis）一阶差分均值",无量纲/统计量,"对频谱分布尖峭/重尾的度量；与 bark/mel 的分布峰度类似但基于线性谱"
lowlevel.spectral_kurtosis.dmean2,"谱峰度二阶差分均值",无量纲/统计量,"变化加速度"
lowlevel.spectral_kurtosis.dvar,"谱峰度一阶差分方差",无量纲/统计量,"变化不稳定"
lowlevel.spectral_kurtosis.dvar2,"谱峰度二阶差分方差",无量纲/统计量,"加速度不稳定"
lowlevel.spectral_kurtosis.max,"谱峰度最大值",无量纲,"极端尖峰分布时刻"
lowlevel.spectral_kurtosis.mean,"谱峰度均值",无量纲,"整体尖峭程度"
lowlevel.spectral_kurtosis.median,"谱峰度中位数",无量纲,"鲁棒中心趋势"
lowlevel.spectral_kurtosis.min,"谱峰度最小值",无量纲,"更平坦的频谱分布"
lowlevel.spectral_kurtosis.stdev,"谱峰度标准差",无量纲,"随时间波动"
lowlevel.spectral_kurtosis.var,"谱峰度方差",无量纲,"=stdev^2"
lowlevel.spectral_rms.dmean,"谱 RMS（频谱均方根幅度）一阶差分均值",无量纲/统计量,"与整体能量/响度相关；差分表示能量变化速度"
lowlevel.spectral_rms.dmean2,"谱 RMS 二阶差分均值",无量纲/统计量,"变化加速度"
lowlevel.spectral_rms.dvar,"谱 RMS 一阶差分方差",无量纲/统计量,"变化不稳定"
lowlevel.spectral_rms.dvar2,"谱 RMS 二阶差分方差",无量纲/统计量,"加速度不稳定"
lowlevel.spectral_rms.max,"谱 RMS 最大值",无量纲,"能量峰值时刻"
lowlevel.spectral_rms.mean,"谱 RMS 均值",无量纲,"整体能量水平"
lowlevel.spectral_rms.median,"谱 RMS 中位数",无量纲,"鲁棒中心趋势"
lowlevel.spectral_rms.min,"谱 RMS 最小值",无量纲,"最弱时刻"
lowlevel.spectral_rms.stdev,"谱 RMS 标准差",无量纲,"随时间波动"
lowlevel.spectral_rms.var,"谱 RMS 方差",无量纲,"=stdev^2"
lowlevel.spectral_rolloff.dmean,"谱滚降频率（Spectral Rolloff）一阶差分均值",Hz/统计量,"rolloff 为累计能量达到某比例（常见 85%/95%）的频率；越高越亮"
lowlevel.spectral_rolloff.dmean2,"谱 rolloff 二阶差分均值",Hz/统计量,"变化加速度"
lowlevel.spectral_rolloff.dvar,"谱 rolloff 一阶差分方差",(Hz)^2/统计量,"变化不稳定"
lowlevel.spectral_rolloff.dvar2,"谱 rolloff 二阶差分方差",(Hz)^2/统计量,"加速度不稳定"
lowlevel.spectral_rolloff.max,"谱 rolloff 最大值",Hz,"最亮/高频最丰富时刻"
lowlevel.spectral_rolloff.mean,"谱 rolloff 均值",Hz,"整体亮度"
lowlevel.spectral_rolloff.median,"谱 rolloff 中位数",Hz,"鲁棒中心趋势"
lowlevel.spectral_rolloff.min,"谱 rolloff 最小值",Hz,"最暗时刻"
lowlevel.spectral_rolloff.stdev,"谱 rolloff 标准差",Hz,"随时间波动"
lowlevel.spectral_rolloff.var,"谱 rolloff 方差",(Hz)^2,"=stdev^2"
lowlevel.spectral_skewness.dmean,"谱偏度（Spectral Skewness）一阶差分均值",无量纲/统计量,"频谱分布的不对称性（相对质心的偏斜）；差分描述其变化"
lowlevel.spectral_skewness.dmean2,"谱偏度二阶差分均值",无量纲/统计量,"变化加速度"
lowlevel.spectral_skewness.dvar,"谱偏度一阶差分方差",无量纲/统计量,"变化不稳定"
lowlevel.spectral_skewness.dvar2,"谱偏度二阶差分方差",无量纲/统计量,"加速度不稳定"
lowlevel.spectral_skewness.max,"谱偏度最大值",无量纲,"最大偏斜时刻"
lowlevel.spectral_skewness.mean,"谱偏度均值",无量纲,"整体偏斜趋势"
lowlevel.spectral_skewness.median,"谱偏度中位数",无量纲,"鲁棒中心趋势"
lowlevel.spectral_skewness.min,"谱偏度最小值",无量纲,"最强反向偏斜"
lowlevel.spectral_skewness.stdev,"谱偏度标准差",无量纲,"随时间波动"
lowlevel.spectral_skewness.var,"谱偏度方差",无量纲,"=stdev^2"
lowlevel.spectral_spread.dmean,"谱扩展（Spectral Spread）一阶差分均值",Hz^2 或实现相关/统计量,"描述能量围绕谱质心的离散程度（类似方差）；数值越大越分散"
lowlevel.spectral_spread.dmean2,"谱扩展二阶差分均值",同上,"变化加速度"
lowlevel.spectral_spread.dvar,"谱扩展一阶差分方差",同上,"变化不稳定"
lowlevel.spectral_spread.dvar2,"谱扩展二阶差分方差",同上,"加速度不稳定"
lowlevel.spectral_spread.max,"谱扩展最大值",同上,"最分散时刻"
lowlevel.spectral_spread.mean,"谱扩展均值",同上,"整体分散程度"
lowlevel.spectral_spread.median,"谱扩展中位数",同上,"鲁棒中心趋势"
lowlevel.spectral_spread.min,"谱扩展最小值",同上,"最集中时刻"
lowlevel.spectral_spread.stdev,"谱扩展标准差",同上,"随时间波动"
lowlevel.spectral_spread.var,"谱扩展方差",同上,"=stdev^2"
lowlevel.spectral_strongpeak.dmean,"强峰值（Strong Peak）一阶差分均值",无量纲/统计量,"衡量频谱中“最强峰”相对背景的突出程度；差分描述其变化"
lowlevel.spectral_strongpeak.dmean2,"强峰值二阶差分均值",无量纲/统计量,"变化加速度"
lowlevel.spectral_strongpeak.dvar,"强峰值一阶差分方差",无量纲/统计量,"变化不稳定"
lowlevel.spectral_strongpeak.dvar2,"强峰值二阶差分方差",无量纲/统计量,"加速度不稳定"
lowlevel.spectral_strongpeak.max,"强峰值最大值",无量纲,"最强单峰突出时刻（常见于单音/纯音/尖锐共振）"
lowlevel.spectral_strongpeak.mean,"强峰值均值",无量纲,"整体峰值突出程度"
lowlevel.spectral_strongpeak.median,"强峰值中位数",无量纲,"鲁棒中心趋势"
lowlevel.spectral_strongpeak.min,"强峰值最小值",无量纲,"=0 表示无明显强峰"
lowlevel.spectral_strongpeak.stdev,"强峰值标准差",无量纲,"随时间波动"
lowlevel.spectral_strongpeak.var,"强峰值方差",无量纲,"=stdev^2"
lowlevel.zerocrossingrate.dmean,"过零率（ZCR）一阶差分均值",0~1/统计量,"信号波形过零次数比例；与噪声度、擦弦/打击感、清浊有关"
lowlevel.zerocrossingrate.dmean2,"过零率二阶差分均值",0~1/统计量,"变化加速度"
lowlevel.zerocrossingrate.dvar,"过零率一阶差分方差",0~1/统计量,"变化不稳定"
lowlevel.zerocrossingrate.dvar2,"过零率二阶差分方差",0~1/统计量,"加速度不稳定"
lowlevel.zerocrossingrate.max,"过零率最大值",0~1,"最高噪声化/最高频成分时刻之一"
lowlevel.zerocrossingrate.mean,"过零率均值",0~1,"整体清浊/噪声度倾向"
lowlevel.zerocrossingrate.median,"过零率中位数",0~1,"鲁棒中心趋势"
lowlevel.zerocrossingrate.min,"过零率最小值",0~1,"最低噪声化/低频占优时刻"
lowlevel.zerocrossingrate.stdev,"过零率标准差",0~1,"随时间波动"
lowlevel.zerocrossingrate.var,"过零率方差",0~1,"=stdev^2"
metadata.audio_properties.analysis.equal_loudness,"分析阶段是否进行等响度（Equal-Loudness）校正",0/1,"0=未启用（你这里为 0）"
metadata.audio_properties.analysis.length,"分析得到的音频时长（analysis）",秒,"与 metadata.audio_properties.length 通常一致"
metadata.audio_properties.analysis.sample_rate,"分析使用的采样率（analysis）",Hz,"此处为 44100"
metadata.audio_properties.analysis.start_time,"分析起始时间偏移（从音频的哪个时间点开始分析）",秒,"通常为 0"
metadata.audio_properties.bit_rate,"比特率（码率）",bps,"对有损编码（AAC/MP3 等）有意义"
metadata.audio_properties.length,"音频时长（媒体属性）",秒,"此处约 408.925 秒"
metadata.audio_properties.lossless,"是否无损编码",0/1,"0=有损（你这里为 0）"
metadata.audio_properties.number_channels,"声道数",整数,"2=立体声"
metadata.audio_properties.replay_gain,"ReplayGain 建议增益",dB,"用于回放时音量归一（负值表示应衰减）"
metadata.audio_properties.sample_rate,"媒体采样率",Hz,"与 analysis.sample_rate 通常一致"
rhythm.beats_count,"检测到的节拍（beat）总数",整数,"依赖节拍检测算法与参数"
rhythm.beats_loudness.dmean,"节拍响度（beats loudness）一阶差分均值",无量纲/统计量,"每个 beat 周期内的响度/能量估计；差分描述节拍强弱变化速度"
rhythm.beats_loudness.dmean2,"节拍响度二阶差分均值",无量纲/统计量,"变化加速度"
rhythm.beats_loudness.dvar,"节拍响度一阶差分方差",无量纲/统计量,"变化不稳定"
rhythm.beats_loudness.dvar2,"节拍响度二阶差分方差",无量纲/统计量,"加速度不稳定"
rhythm.beats_loudness.max,"节拍响度最大值",无量纲,"最强的节拍点"
rhythm.beats_loudness.mean,"节拍响度均值",无量纲,"整体节拍强度"
rhythm.beats_loudness.median,"节拍响度中位数",无量纲,"鲁棒中心趋势"
rhythm.beats_loudness.min,"节拍响度最小值",无量纲,"可能为 0（极弱/检测边界）"
rhythm.beats_loudness.stdev,"节拍响度标准差",无量纲,"随节拍波动"
rhythm.beats_loudness.var,"节拍响度方差",无量纲,"=stdev^2"
rhythm.bpm,"估计的主速度（Tempo）",BPM,"此处约 91.8 BPM"
rhythm.bpm_histogram_first_peak_bpm,"BPM 直方图第一主峰对应 BPM",BPM,"最可能的 tempo 峰"
rhythm.bpm_histogram_first_peak_weight,"BPM 直方图第一主峰权重",0~1,"表示该峰占比/置信度（实现相关）"
rhythm.bpm_histogram_second_peak_bpm,"BPM 直方图第二峰对应 BPM",BPM,"次可能 tempo（可能与倍速/半速有关）"
rhythm.bpm_histogram_second_peak_spread,"BPM 第二峰的扩散度（峰宽）",无量纲/统计量,"峰越宽表示不确定性更大"
rhythm.bpm_histogram_second_peak_weight,"BPM 第二峰权重",0~1,"次峰占比/置信度"
rhythm.danceability,"可舞性（Danceability）估计",无量纲/相对值,"通常综合节拍稳定性、节奏清晰度等；实现/标定相关"
rhythm.onset_rate,"起音（Onset）发生率",次/秒,"越高表示单位时间内起音更多（更“密”）"
tonal.chords_changes_rate,"和弦变化率",次/秒 或 次/帧（实现相关）,"越高表示和声更频繁地变化"
tonal.chords_number_rate,"和弦“种类数/数量”速率（稀疏度）",无量纲/统计量,"反映不同和弦出现的丰富程度（实现相关）"
tonal.chords_strength.dmean,"和弦强度/置信度（chords_strength）一阶差分均值",0~1/统计量,"和弦识别的清晰度/置信度；差分描述其变化"
tonal.chords_strength.dmean2,"和弦强度二阶差分均值",0~1/统计量,"变化加速度"
tonal.chords_strength.dvar,"和弦强度一阶差分方差",0~1/统计量,"变化不稳定"
tonal.chords_strength.dvar2,"和弦强度二阶差分方差",0~1/统计量,"加速度不稳定"
tonal.chords_strength.max,"和弦强度最大值",0~1,"最清晰和弦时刻"
tonal.chords_strength.mean,"和弦强度均值",0~1,"整体和弦清晰度"
tonal.chords_strength.median,"和弦强度中位数",0~1,"鲁棒中心趋势"
tonal.chords_strength.min,"和弦强度最小值",0~1,"可能为 0（无明确和弦/噪声段）"
tonal.chords_strength.stdev,"和弦强度标准差",0~1,"随时间波动"
tonal.chords_strength.var,"和弦强度方差",0~1,"=stdev^2"
tonal.hpcp_crest.dmean,"HPCP（和声音高类谱）crest 因子一阶差分均值",无量纲/统计量,"HPCP 描述 12（或更多）个音高类能量；crest 反映音高类集中度/主音突出程度"
tonal.hpcp_crest.dmean2,"HPCP crest 二阶差分均值",无量纲/统计量,"变化加速度"
tonal.hpcp_crest.dvar,"HPCP crest 一阶差分方差",无量纲/统计量,"变化不稳定"
tonal.hpcp_crest.dvar2,"HPCP crest 二阶差分方差",无量纲/统计量,"加速度不稳定"
tonal.hpcp_crest.max,"HPCP crest 最大值",无量纲,"主音/和声最集中的时刻"
tonal.hpcp_crest.mean,"HPCP crest 均值",无量纲,"整体音高类集中度"
tonal.hpcp_crest.median,"HPCP crest 中位数",无量纲,"鲁棒中心趋势"
tonal.hpcp_crest.min,"HPCP crest 最小值",无量纲,"最分散（多音/噪声）时刻"
tonal.hpcp_crest.stdev,"HPCP crest 标准差",无量纲,"随时间波动"
tonal.hpcp_crest.var,"HPCP crest 方差",无量纲,"=stdev^2"
tonal.hpcp_entropy.dmean,"HPCP 熵一阶差分均值",无量纲/统计量,"HPCP 熵越高表示音高类分布更均匀（和声更复杂/更不确定）"
tonal.hpcp_entropy.dmean2,"HPCP 熵二阶差分均值",无量纲/统计量,"变化加速度"
tonal.hpcp_entropy.dvar,"HPCP 熵一阶差分方差",无量纲/统计量,"变化不稳定"
tonal.hpcp_entropy.dvar2,"HPCP 熵二阶差分方差",无量纲/统计量,"加速度不稳定"
tonal.hpcp_entropy.max,"HPCP 熵最大值",无量纲,"音高类最分散时刻"
tonal.hpcp_entropy.mean,"HPCP 熵均值",无量纲,"整体和声复杂度/不确定性"
tonal.hpcp_entropy.median,"HPCP 熵中位数",无量纲,"鲁棒中心趋势"
tonal.hpcp_entropy.min,"HPCP 熵最小值",无量纲,"音高类最集中（单一调性强）时刻"
tonal.hpcp_entropy.stdev,"HPCP 熵标准差",无量纲,"随时间波动"
tonal.hpcp_entropy.var,"HPCP 熵方差",无量纲,"=stdev^2"
tonal.key_edma.strength,"EDMA 调性估计强度/置信度",0~1,"越高表示该调性更可信"
tonal.key_krumhansl.strength,"Krumhansl-Schmuckler 调性估计强度",0~1,"经典 key profile 方法的置信度"
tonal.key_temperley.strength,"Temperley 调性估计强度",0~1,"Temperley 模型的置信度"
tonal.tuning_diatonic_strength,"调音的自然音级强度（diatonic tuning strength）",0~1,"越高表示更接近某个自然音级体系（实现相关）"
tonal.tuning_equal_tempered_deviation,"与十二平均律的偏差",Hz 或 cents（实现相关）,"此处为 0 表示无偏差（或被量化为 0）"
tonal.tuning_frequency,"估计的参考音高（A4 附近的调音频率）",Hz,"此处约 443.316 Hz（略高于 440）"
tonal.tuning_nontempered_energy_ratio,"非平均律能量比例（非等分音高成分占比）",0~1,"越高表示更可能存在微分音/非平均律偏移（实现相关）"
lowlevel.barkbands.dmean,"Bark 频带能量向量的一阶差分均值（27 维）",向量/统计量,"每一维对应一个 Bark 频带；dmean 对每维分别统计"
lowlevel.barkbands.dmean2,"Bark 频带能量向量的二阶差分均值（27 维）",向量/统计量,"变化加速度（逐维）"
lowlevel.barkbands.dvar,"Bark 频带能量向量的一阶差分方差（27 维）",向量/统计量,"变化不稳定（逐维）"
lowlevel.barkbands.dvar2,"Bark 频带能量向量的二阶差分方差（27 维）",向量/统计量,"加速度不稳定（逐维）"
lowlevel.barkbands.max,"Bark 频带能量向量的最大值（27 维）",向量/统计量,"每个频带在全曲的最大能量"
lowlevel.barkbands.mean,"Bark 频带能量向量的均值（27 维）",向量/统计量,"每个频带的平均能量"
lowlevel.barkbands.median,"Bark 频带能量向量的中位数（27 维）",向量/统计量,"鲁棒中心趋势（逐频带）"
lowlevel.barkbands.min,"Bark 频带能量向量的最小值（27 维）",向量/统计量,"逐频带最弱能量（接近 0）"
lowlevel.barkbands.stdev,"Bark 频带能量向量的标准差（27 维）",向量/统计量,"逐频带波动"
lowlevel.barkbands.var,"Bark 频带能量向量的方差（27 维）",向量/统计量,"=stdev^2（逐频带）"
lowlevel.erbbands.dmean,"ERB 频带能量向量的一阶差分均值（40 维）",向量/统计量,"每维对应一个 ERB 频带"
lowlevel.erbbands.dmean2,"ERB 频带能量向量的二阶差分均值（40 维）",向量/统计量,"变化加速度（逐维）"
lowlevel.erbbands.dvar,"ERB 频带能量向量的一阶差分方差（40 维）",向量/统计量,"变化不稳定（逐维）"
lowlevel.erbbands.dvar2,"ERB 频带能量向量的二阶差分方差（40 维）",向量/统计量,"加速度不稳定（逐维）"
lowlevel.erbbands.max,"ERB 频带能量向量最大值（40 维）",向量/统计量,"逐频带最大能量"
lowlevel.erbbands.mean,"ERB 频带能量向量均值（40 维）",向量/统计量,"逐频带平均能量"
lowlevel.erbbands.median,"ERB 频带能量向量中位数（40 维）",向量/统计量,"逐频带鲁棒中心趋势"
lowlevel.erbbands.min,"ERB 频带能量向量最小值（40 维）",向量/统计量,"逐频带最弱能量"
lowlevel.erbbands.stdev,"ERB 频带能量向量标准差（40 维）",向量/统计量,"逐频带波动"
lowlevel.erbbands.var,"ERB 频带能量向量方差（40 维）",向量/统计量,"=stdev^2（逐频带）"
lowlevel.gfcc.mean,"GFCC（Gammatone Frequency Cepstral Coefficients）均值向量（13 维）",系数值/向量,"类似 MFCC，但基于 gammatone/听觉滤波器组，更偏听觉模型"
lowlevel.melbands.dmean,"Mel 频带能量向量一阶差分均值（40 维）",向量/统计量,"mel 频带能量的逐维变化速度"
lowlevel.melbands.dmean2,"Mel 频带能量向量二阶差分均值（40 维）",向量/统计量,"变化加速度（逐维）"
lowlevel.melbands.dvar,"Mel 频带能量向量一阶差分方差（40 维）",向量/统计量,"变化不稳定（逐维）"
lowlevel.melbands.dvar2,"Mel 频带能量向量二阶差分方差（40 维）",向量/统计量,"加速度不稳定（逐维）"
lowlevel.melbands.max,"Mel 频带能量向量最大值（40 维）",向量/统计量,"逐频带最大能量"
lowlevel.melbands.mean,"Mel 频带能量向量均值（40 维）",向量/统计量,"逐频带平均能量"
lowlevel.melbands.median,"Mel 频带能量向量中位数（40 维）",向量/统计量,"逐频带鲁棒中心趋势"
lowlevel.melbands.min,"Mel 频带能量向量最小值（40 维）",向量/统计量,"逐频带最弱能量"
lowlevel.melbands.stdev,"Mel 频带能量向量标准差（40 维）",向量/统计量,"逐频带波动"
lowlevel.melbands.var,"Mel 频带能量向量方差（40 维）",向量/统计量,"=stdev^2（逐频带）"
lowlevel.melbands128.dmean,"Mel 128 频带能量向量一阶差分均值（128 维）",向量/统计量,"更细粒度的 mel 频带能量变化速度（逐维）"
lowlevel.melbands128.dmean2,"Mel 128 频带能量向量二阶差分均值（128 维）",向量/统计量,"变化加速度（逐维）"
lowlevel.melbands128.dvar,"Mel 128 频带能量向量一阶差分方差（128 维）",向量/统计量,"变化不稳定（逐维）"
lowlevel.melbands128.dvar2,"Mel 128 频带能量向量二阶差分方差（128 维）",向量/统计量,"加速度不稳定（逐维）"
lowlevel.melbands128.max,"Mel 128 频带能量向量最大值（128 维）",向量/统计量,"逐频带最大能量"
lowlevel.melbands128.mean,"Mel 128 频带能量向量均值（128 维）",向量/统计量,"逐频带平均能量"
lowlevel.melbands128.median,"Mel 128 频带能量向量中位数（128 维）",向量/统计量,"逐频带鲁棒中心趋势"
lowlevel.melbands128.min,"Mel 128 频带能量向量最小值（128 维）",向量/统计量,"逐频带最弱能量"
lowlevel.melbands128.stdev,"Mel 128 频带能量向量标准差（128 维）",向量/统计量,"逐频带波动"
lowlevel.melbands128.var,"Mel 128 频带能量向量方差（128 维）",向量/统计量,"=stdev^2（逐频带）"
lowlevel.mfcc.mean,"MFCC（Mel Frequency Cepstral Coefficients）均值向量（13 维）",系数值/向量,"描述音色包络的倒谱特征；常用于分类/相似度"
lowlevel.spectral_contrast_coeffs.dmean,"谱对比度系数（Spectral Contrast Coeffs）一阶差分均值（6 维）",向量/统计量,"每维对应一个频段的“峰-谷”对比；系数反映对比度形状"
lowlevel.spectral_contrast_coeffs.dmean2,"谱对比度系数二阶差分均值（6 维）",向量/统计量,"变化加速度（逐维）"
lowlevel.spectral_contrast_coeffs.dvar,"谱对比度系数一阶差分方差（6 维）",向量/统计量,"变化不稳定（逐维）"
lowlevel.spectral_contrast_coeffs.dvar2,"谱对比度系数二阶差分方差（6 维）",向量/统计量,"加速度不稳定（逐维）"
lowlevel.spectral_contrast_coeffs.max,"谱对比度系数最大值（6 维）",向量/统计量,"逐频段最大对比特征（以系数形式）"
lowlevel.spectral_contrast_coeffs.mean,"谱对比度系数均值（6 维）",向量/统计量,"逐频段平均对比特征"
lowlevel.spectral_contrast_coeffs.median,"谱对比度系数中位数（6 维）",向量/统计量,"逐频段鲁棒中心趋势"
lowlevel.spectral_contrast_coeffs.min,"谱对比度系数最小值（6 维）",向量/统计量,"逐频段最弱/最低值"
lowlevel.spectral_contrast_coeffs.stdev,"谱对比度系数标准差（6 维）",向量/统计量,"逐频段随时间波动"
lowlevel.spectral_contrast_coeffs.var,"谱对比度系数方差（6 维）",向量/统计量,"=stdev^2（逐维）"
lowlevel.spectral_contrast_valleys.dmean,"谱对比度谷值（Valleys）一阶差分均值（6 维）",向量/统计量,"valleys 表示各频段“谷底”能量（常以 dB）；与 peaks 共同构成对比度"
lowlevel.spectral_contrast_valleys.dmean2,"谱对比度谷值二阶差分均值（6 维）",向量/统计量,"变化加速度（逐维）"
lowlevel.spectral_contrast_valleys.dvar,"谱对比度谷值一阶差分方差（6 维）",向量/统计量,"变化不稳定（逐维）"
lowlevel.spectral_contrast_valleys.dvar2,"谱对比度谷值二阶差分方差（6 维）",向量/统计量,"加速度不稳定（逐维）"
lowlevel.spectral_contrast_valleys.max,"谱对比度谷值最大值（6 维）",向量/统计量,"逐频段谷值最高（最不“谷”）时刻"
